,join_col,G16PRERTRU_x,G16PREDCLI_x
372,101-03-01000301,589.0,119.0
373,101-03-02000302,815.0,175.0
374,101-03-03000303,686.0,97.0
375,101-04-01000401,611.0,110.0
376,101-04-02000402,426.0,46.0
377,101-04-03000403,140.0,37.0
378,101-04-06000406,399.0,54.0
379,101-38-05003805,613.0,146.0
380,101-38-04003804,361.0,71.0
381,101-04-04000404,193.0,50.0
382,101-04-05000405,215.0,46.0
383,101-38-01003801,204.0,69.0
384,101-38-02003802,789.0,146.0
385,101-38-03003803,228.0,40.0
386,103-14-01001401,251.0,34.0
387,103-14-02001402,190.0,59.0
388,103-14-03001403,232.0,32.0
389,103-14-04001404,224.0,59.0
390,103-14-05001405,690.0,184.0
391,103-14-06001406,209.0,51.0
392,105-01-01000101,1263.0,261.0
393,105-01-02000102,1586.0,301.0
394,105-01-03000103,216.0,37.0
395,105-01-04000104,1813.0,388.0
396,105-02-01000201,1122.0,114.0
397,105-02-02000202,154.0,17.0
398,105-02-03000203,1204.0,137.0
399,105-02-04000204,119.0,17.0
400,105-02-05000205,239.0,61.0
401,105-02-06000206,298.0,30.0
402,105-02-07000207,334.0,91.0
403,105-02-08000208,925.0,112.0
404,105-02-09000209,159.0,34.0
405,105-02-10000210,174.0,36.0
406,105-02-11000211,463.0,99.0
407,061-04-04/04-06000404/000406,257.0,20.0
408,037-31-01/31-04003101/003104,648.0,83.0
409,077-25-03/25-10002503/002510,533.0,272.0
410,057-33-24003324,247.0,29.0
411,057-33-04003304,308.0,37.0
412,057-33-22003322,342.0,30.0
413,057-33-23003323,364.0,41.0
414,057-33-21003321,420.0,37.0
415,057-33-03003303,299.0,62.0
416,057-33-81003381,277.0,61.0
417,057-33-83003383,291.0,71.0
418,057-33-82003382,400.0,98.0
419,101-03-04 NE000304,632.0,282.0
420,101-40-03 NW004003,2115.0,931.0
421,101-40-03 NE004003,288.0,96.0
422,101-38-06 NW003806,1547.0,482.0
423,101-38-06 SE003806,569.0,198.0
424,101-38-06 SW003806,542.0,163.0
425,101-05-01 SE000501,733.0,353.0
426,101-05-01 SW000501,3493.0,1263.0
427,101-05-01 NW000501,19.0,16.0
428,101-03-04 SW000304,10.0,16.0
429,101-03-04 NW000304,67.0,35.0
430,101-03-04 SE000304,1875.0,634.0
431,101-40-01/40-02004001/004002,477.0,131.0
