,join_col,G16PRERTRU_y,G16PREDCLI_y
772,087-Marmarth Community Center,106.0,14.0
773,087-Pierce Church,122.0,11.0
774,089-Armory,5059.0,1086.0
775,089-BAC,1535.0,284.0
776,089-Belfield,534.0,38.0
777,089-Gladstone,236.0,38.0
778,089-Range 95/96,1132.0,119.0
779,089-Richardton,457.0,87.0
780,089-South Heart,597.0,73.0
781,089-Taylor,205.0,28.0
782,091-Precinct 1,103.0,62.0
783,091-Precinct 2,123.0,81.0
784,091-Precinct 3,113.0,75.0
785,091-Precinct 4,95.0,72.0
786,091-Precinct 5,104.0,71.0
787,093-Precinct J1,755.0,362.0
788,093-Precinct J2,1119.0,518.0
789,093-Precinct J3,790.0,316.0
790,093-Precinct J4,669.0,223.0
791,093-Precinct J5,724.0,342.0
792,093-Precinct J6,598.0,233.0
793,093-Precinct P1,199.0,47.0
794,093-Precinct P2,133.0,40.0
795,093-Precinct P3,275.0,83.0
796,093-Precinct P4,541.0,128.0
797,093-Precinct P5,433.0,70.0
798,093-Precinct P6,482.0,136.0
799,095-Cando,518.0,159.0
800,095-Egeland,108.0,55.0
801,095-Rocklake,107.0,91.0
802,097-Precinct 1,129.0,59.0
803,097-Precinct 10,217.0,118.0
804,097-Precinct 11,435.0,255.0
805,097-Precinct 12,194.0,135.0
806,097-Precinct 2,230.0,120.0
807,097-Precinct 3,146.0,62.0
808,097-Precinct 4,107.0,64.0
809,097-Precinct 5,73.0,50.0
810,097-Precinct 6,50.0,38.0
811,097-Precinct 7,324.0,148.0
812,097-Precinct 8,140.0,78.0
813,097-Precinct 9,220.0,114.0
814,099-Precinct 1 - District 19,2098.0,777.0
815,099-Precinct 2 -District 10,897.0,390.0
816,101-Afton Our Savior Lutheran,361.0,71.0
817,101-Berthold Sr Citizen Center,426.0,46.0
818,101-Burlington City Hall,789.0,146.0
819,101-Des Lacs Community Hall,228.0,40.0
820,101-Harrison Courthouse,613.0,146.0
821,101-Kenmare Memorial Hall,611.0,110.0
822,101-Makoti Pioneer Sr Citizen Club,140.0,37.0
823,101-NE Minot Dist 3,632.0,282.0
824,101-NE Minot Dist 40,288.0,96.0
825,101-Nedrose All Seasons Arena,815.0,175.0
826,101-North Central Lynch Immanuel,204.0,69.0
827,101-NW Minot Dist 3,67.0,35.0
828,101-NW Minot Dist 38,1547.0,482.0
829,101-NW Minot Dist 40,2115.0,931.0
830,101-NW Minot Dist 5,19.0,16.0
831,101-Ruthville Lynch Immanuel,477.0,131.0
832,101-Ryder City Building,193.0,50.0
833,101-Sawyer City Hall,399.0,54.0
834,101-SE Minot Dist 3,1875.0,634.0
835,101-SE Minot Dist 38,569.0,198.0
836,101-SE Minot Dist 5,733.0,353.0
837,101-South Prairie School,215.0,46.0
838,101-Sundre All Seasons Arena,589.0,119.0
839,101-Surrey City Hall,686.0,97.0
840,101-SW Minot Dist 3,10.0,16.0
841,101-SW Minot Dist 38,542.0,163.0
842,101-SW Minot Dist 5,3493.0,1263.0
843,103-Precinct 01 Harvey,251.0,34.0
844,103-Precinct 02 Fessenden,190.0,59.0
845,103-Precinct 03 Bowdon,232.0,32.0
846,103-Precinct 04 Sykeston,224.0,59.0
847,103-Precinct 05 Harvey,690.0,184.0
848,103-Precinct 06 Fessenden,209.0,51.0
849,105-Precinct 43,1122.0,114.0
850,105-Precinct 45,154.0,17.0
851,105-Precinct 48,1204.0,137.0
852,105-Precinct 53,119.0,17.0
853,105-Precinct 55,239.0,61.0
854,105-Precinct 59,1586.0,301.0
855,105-Precinct 60,1263.0,261.0
856,105-Precinct 62,298.0,30.0
857,105-Precinct 63,334.0,91.0
858,105-Precinct 64,925.0,112.0
859,105-Precinct 65,159.0,34.0
860,105-Precinct 67,174.0,36.0
861,105-Precinct 74,1813.0,388.0
862,105-Precinct 75,216.0,37.0
863,105-Precinct 76,463.0,99.0
